date,time,exp,start,shoot_ready,sleep,exp_start,raw_ready,raw_done,vbatt,tsensor,topt,tbatt,free_mem,lua_mem,sd_space,meter_time,histo_time,draw_time,sv,sv96,sv_l1,sv_tv_tr,tv,tv96,tv_l1,tv_sv_tr,av,av96,nd,nd_tv_tr,nd_hookfix,bv96,meter,meter96,meter96_tgt,meter_weight,over_frac,over_weight,under_frac,under_weight,bv_ev_shift,bv_ev_l1,d_ev_base,d_ev_s1,d_ev_s2,d_ev_r1,d_ev_f,d_ev,desc
12/12/2021,16:23:33,1271,209270,,,,,,3921,27,20,22,2796768,215,7734304,,,,100,411,,,0.019126,548,,,3.364,336,0,,,512,,,,,,,,,,,,,,,,,init:ev_change_max=32 ev_shift=0 ev_use_initial=false bv_ev_shift_pct=0 bv_ev_shift_base_bv=false tv96_long_limit=0 tv96_short_limit=957 tv96_sv_thresh=192 tv96_nd_thresh=861 nd_value=0 nd_hysteresis=48 sv96_max=699 sv96_target=411 meter_width_pct=90 meter_height_pct=90 meter_left_pct=-1 meter_top_pct=-1 meter_step=15 meter_high_thresh=96 meter_high_limit=168 meter_high_limit_weight=200 meter_low_thresh=-168 meter_low_limit=-264 meter_low_limit_weight=200 over_margin_ev=24 over_thresh_frac=20000 under_margin_ev=384 under_thresh_frac=100000 over_weight_max=200 under_weight_max=200 over_prio=0 under_prio=0 histo_step=15 do_draw=false draw_meter=corners draw_gauge_y_pct=5 smooth_factor=500 smooth_limit_frac=700 ev_chg_rev_limit_frac=500 meter_top=212 meter_left=267 meter_width=4656 meter_height=3496 meter_x_count=310 meter_y_count=233 histo_samples=88151 / rawopint v:0.26-dev / platform:ixus175_elph180-100c-1.6.0-6022 Nov 18 2021 19:24:39 / interval:1000 / capmode:P / canon_img_fmt:1 / cont_mode / fw nd_value:298 / sd:-1 af_ok:true fl:5966 efl:33409 zoom_pos:13
12/12/2021,16:23:33,1272,209980,10,,10,910,1020,3930,27,20,22,2855776,162,7734304,40,60,,100,411,,,0.019126,548,,,3.364,336,0,,,484,773,11,0,100,0.1115,0,15.9174,200,0,,17.666,8.833,,,8.833,9,init_frame:black_level=127 neutral=722 over_histo_min=867 under_histo_max=41
12/12/2021,16:23:35,1273,211030,540,-580,540,1440,1550,3926,27,20,22,2849824,166,7733696,30,60,,100,411,,,0.020410,539,,,3.364,336,0,,,501,903,37,0,100,0.1239,0,11.6538,134,0,,4.649,6.740,5.276,,5.276,5,
12/12/2021,16:23:36,1274,212610,540,-580,540,1440,1550,3926,27,20,22,2845008,170,7733152,30,60,,100,411,,,0.021160,534,,,3.364,336,0,,,517,1033,58,0,100,0.1442,0,10.0155,100,0,,0.000,2.638,0.791,,0.791,1,
12/12/2021,16:23:38,1275,214190,540,-580,540,1440,1560,3926,28,20,22,2840048,173,7732576,30,70,,100,411,,,0.021314,533,,,3.364,336,0,,,513,1013,55,0,100,0.1589,0,8.2004,67,0,,-6.323,-2.766,,-1.383,-1.383,-1,
12/12/2021,16:23:39,1276,215770,540,-580,540,1440,1550,3921,28,20,22,2835408,177,7731936,30,60,,100,411,,,0.021160,534,,,3.364,336,0,,,514,1012,55,0,100,0.1420,0,7.4027,54,0,,-9.558,-5.470,,,-5.470,-5,
12/12/2021,16:23:41,1277,217350,540,-580,540,1440,1550,3921,28,20,23,2830880,180,7731264,30,60,,100,411,,,0.020410,539,,,3.364,336,0,,,518,1008,54,0,100,0.1341,0,8.2443,67,0,,-6.323,-5.896,,,-5.896,-6,
12/12/2021,16:23:42,1278,218930,540,-580,540,1440,1550,3921,28,20,23,2826040,184,7730624,40,50,,100,411,,,0.019545,545,,,3.364,336,0,,,518,967,48,0,100,0.1284,0,9.1908,82,0,,-3.164,-4.530,-3.573,,-3.573,-4,
12/12/2021,16:23:44,1279,220510,540,-580,540,1440,1550,3921,28,20,23,2821264,187,7729984,30,50,,100,411,,,0.018988,549,,,3.364,336,0,,,515,925,41,0,100,0.1251,0,9.8916,96,0,,-0.653,-2.112,-1.090,,-1.090,-1,
12/12/2021,16:23:46,1280,222090,540,-580,540,1440,1550,3921,28,20,23,2816656,191,7729344,30,50,,100,411,,,0.018852,550,,,3.364,336,0,,,516,926,41,0,100,0.1251,0,10.0617,100,0,,0.000,-0.545,-0.163,,-0.163,0,
